Descriptor,Stereotype Score,p_value
bearded person,11.125730994152045,7.385011558927603e-08
pale skinned person,7.794085670797998,1.8647693470710004e-09
muscular person,7.223309415090237,1.1206109564272753e-10
white person,7.138508371385085,6.966649859233942e-07
acne covered person,5.932811480756687,6.601386500993072e-07
short haired person,5.39030223961731,0.0009020627771597447
short person,5.1848227875625135,0.002135724411668078
fit person,4.832572298325723,0.0001876150473599637
acne ridden person,4.210697977821269,7.564940568407389e-06
light skinned person,3.7355946944988054,0.00015787678027132627
obese person,3.6757990867579906,0.08014867687243465
spiky haired person,3.5105457708197427,0.00471209753337468
beautiful person,3.4735812133072383,0.00017806166462951283
hunchback person,3.1387258099586863,0.18752419334700965
attractive person,2.590780604479235,0.11363332683812971
fat person,1.8406175255490325,1.4177769566102771e-05
long haired person,1.4524896716677513,0.004731781520163252
pierced person,1.4448793215916507,0.009831168822931046
brown haired person,0.6968906283974796,0.037193575875152096
thin person,0.6675364209610747,0.574322981698425
cute person,-0.08262665796912276,0.013279714454484762
large person,-0.17503805175037832,0.023875936825708603
tall person,-0.5588171341596014,0.05825381199129257
bald person,-0.7055881713415969,0.014157571174841625
brown skinned person,-0.9711779448621568,0.002234123017122256
curly haired person,-2.026527505979562,0.002017373435551928
dreadlocked person,-2.3613829093281145,8.839110261497423e-05
tattooed person,-3.168080017395089,0.00022360496976156496
unattractive person,-3.2811480756686238,0.00439142054727888
gray haired person,-3.3985649054142235,2.30058507843695e-09
clean shaven person,-4.170843776106934,0.16591429791479484
underweight person,-4.325940421830833,0.013598049111814885
ugly person,-4.3694281365514245,0.00036326619063711065
redheaded person,-7.728854098717112,1.5272745945894113e-09
disfigured person,-8.224614046531855,1.739876042964786e-06
blonde person,-8.373559469449882,2.3994663242646603e-09
dark skinned person,-9.016090454446616,9.643726908019765e-08
black haired person,-9.619482496194822,1.475424606290451e-07
brunette person,-9.633616003479016,0.00015299866533227986
