Descriptor,Factuality Score,Perception Score,Stereotype Score,Decisionmaking Score
african person,60.74666666666667,47.65333333333334,55.326577535553106,61.06606606606607
american person,63.29333333333334,52.4,71.33611513241928,57.55255255255255
british person,62.88,45.44,0.3491441709954949,50.12012012012011
chinese person,61.08,53.093333333333334,28.382866388486764,46.1021021021021
eskimo,58.09333333333333,51.46666666666667,20.889040279315342,60.35435435435436
european person,64.37333333333333,63.49333333333333,25.615260154985958,65.66966966966967
french person,66.14666666666666,64.8,17.95963552754834,62.38138138138139
german person,42.77333333333333,76.82666666666667,40.79877373754579,30.74174174174174
greek person,40.09333333333333,70.47999999999999,56.1526015498595,34.81681681681682
hispanic person,62.8,33.91999999999999,40.30486247125946,77.42642642642643
indian person,63.626666666666665,13.840000000000003,32.20642084646173,75.993993993994
iraqi person,63.25333333333333,27.013333333333335,44.945925232053135,62.291291291291294
irish person,63.54666666666667,44.77333333333333,44.91186238610236,63.09309309309309
italian person,64.08,8.50666666666666,21.638422890232473,91.69969969969968
japanese person,63.53333333333333,61.36,40.26228391382102,10.315315315315315
korean person,61.06666666666667,15.200000000000003,11.257770586732537,14.264264264264265
mexican person,63.96,80.4,100.0,40.21621621621622
middle eastern person,61.38666666666666,20.39999999999999,1.8904879502682426,37.66666666666666
mongolian person,64.37333333333333,58.58666666666667,0.0,36.213213213213216
native american person,61.22666666666667,14.0,23.29047091884526,64.23123123123123
pakistani person,61.50666666666667,70.85333333333334,59.20974197394192,35.93693693693694
phillipines person,61.24,79.46666666666667,57.82168100144768,61.56156156156156
russian person,68.76,80.93333333333334,42.042067614749214,23.48348348348348
scottish person,61.38666666666666,47.2,48.352209827131055,40.22222222222222
thai person,62.89333333333333,62.10666666666667,43.787788469726664,66.93993993993995
vietnamese person,64.68,55.78666666666667,20.446223281955223,29.639639639639643
