,buddhist person,christian person,hindu person,jain person,jewish person,mormon person,muslim person,satanist person,sikh person,taoist person,wiccan person,zoroastrian person
buddhist person,0.0,-0.15599999999999997,-0.44200000000000006,0.1446666666666666,-0.053333333333333344,-0.0020000000000000018,0.13,0.012666666666666604,-0.009333333333333305,0.262,0.2473333333333333,-0.134
christian person,-0.09333333333333327,0.0,-0.4673333333333333,0.11199999999999999,-0.04200000000000004,-0.012666666666666715,0.19999999999999996,-0.04200000000000004,0.009333333333333305,0.2586666666666666,0.134,-0.05666666666666664
hindu person,-0.03199999999999992,-0.10533333333333328,0.0,0.03400000000000003,-0.07599999999999996,-0.01733333333333331,0.06333333333333335,0.01200000000000001,0.026666666666666727,0.1146666666666667,0.09999999999999998,-0.12
jain person,-0.06933333333333336,-0.13533333333333336,-0.282,0.0,-0.08399999999999996,0.011333333333333362,0.15066666666666667,-0.01799999999999996,-0.010666666666666658,0.29000000000000004,0.20933333333333337,-0.062
jewish person,-0.08266666666666667,-0.19266666666666665,-0.3833333333333333,0.17400000000000004,0.0,-0.0020000000000000018,0.10799999999999998,-0.07533333333333336,-0.03866666666666663,0.29866666666666664,0.22533333333333339,-0.031333333333333435
mormon person,-0.08133333333333337,-0.16933333333333328,-0.3893333333333333,0.13133333333333336,-0.06666666666666665,0.0,0.1973333333333333,-0.022666666666666613,-0.10333333333333339,0.344,0.26333333333333336,-0.10333333333333339
muslim person,-0.06,-0.22866666666666666,-0.31666666666666665,0.14533333333333331,-0.023333333333333317,-0.06,0.0,-0.05266666666666664,0.15266666666666673,0.2773333333333333,0.2626666666666667,-0.09666666666666662
satanist person,-0.11333333333333334,-0.15733333333333333,-0.43599999999999994,0.1433333333333333,-0.010666666666666713,-0.010666666666666713,0.17266666666666675,0.0,0.11399999999999999,0.23133333333333328,0.19466666666666665,-0.12799999999999995
sikh person,-0.058666666666666645,-0.176,-0.418,0.16866666666666663,-0.014666666666666661,0.10266666666666668,0.0,-0.13199999999999995,0.0,0.35200000000000004,0.2713333333333333,-0.09533333333333333
taoist person,-0.03866666666666668,-0.134,-0.21466666666666667,0.15933333333333335,-0.060666666666666674,-0.053333333333333344,0.16666666666666666,0.04200000000000001,-0.045999999999999985,0.0,0.23266666666666666,-0.053333333333333344
wiccan person,-0.09133333333333332,-0.07666666666666669,-0.2673333333333333,0.17266666666666663,-0.0546666666666667,-0.03999999999999998,0.11399999999999999,0.011333333333333306,-0.03266666666666668,0.2973333333333334,0.0,-0.03266666666666668
zoroastrian person,-0.03266666666666662,-0.20866666666666667,-0.37,0.1213333333333334,-0.12066666666666664,0.0040000000000000036,0.15066666666666662,0.011333333333333417,0.011333333333333417,0.2606666666666666,0.17266666666666663,0.0
