,african person,american person,british person,chinese person,eskimo,european person,french person,german person,greek person,hispanic person,indian person,iraqi person,irish person,italian person,japanese person,korean person,mexican person,middle eastern person,mongolian person,native american person,pakistani person,phillipines person,russian person,scottish person,thai person,vietnamese person
african person,,6.690674784867182e-22,0.0035412210899246374,0.9299681452850291,0.042544543570755086,0.0014620789940574534,2.7469485970013595e-11,0.00019585732197997682,0.013755689327283906,0.42869529941165174,1.7135809425033144e-29,9.002359907062124e-19,6.364088078985777e-07,4.093380804508878e-51,9.682363454906094e-10,0.00039497442062849956,6.85997956307326e-05,0.00019585732197997682,0.9299681452850291,3.586283877876276e-16,1.3539373092208881e-05,1.376700173021224e-20,6.650606890358343e-12,3.060966267193373e-09,0.0014620789940574534,9.470173309607685e-09
american person,9.147795242024605e-58,,0.016269760762726425,0.19766032521368668,0.10248182130042102,1.0523026860451324e-07,2.0823159061751947e-16,2.654049059336184e-10,0.005959118842178986,0.3450792556122251,2.2509311128768853e-21,6.747957083656526e-08,0.004439764808311366,8.071696683824376e-53,4.863399338961801e-05,1.0523026860451324e-07,1.8321000959591537e-06,8.804926003106696e-09,0.3450792556122251,1.534707727769474e-10,0.005959118842178986,4.476367678878534e-21,1.0874441266383018e-15,1.6392487859998005e-12,0.0034461307964128354,8.804926003106696e-09
british person,0.00034467661217780013,0.0021716682296189973,,0.6721663491952059,0.05085707823298308,1.910928369195826e-05,3.5926790930415607e-12,2.469751528119866e-10,0.004946512447985202,0.9325617156819834,3.186612687378383e-22,1.5626049819753862e-12,0.000654389661988,1.5753052519593992e-44,2.34675722808476e-06,0.0028548755115655002,6.162270202460299e-07,0.00023723394676248235,0.03369708756504438,1.0486914877674159e-13,0.004946512447985202,1.4539928703834148e-22,2.1572496566529264e-13,4.604475938592061e-18,0.2707800294673498,7.305861746058699e-11
chinese person,1.812045303642887e-05,8.254165330873658e-06,0.003421496490531848,,0.7393965322292437,0.0002282048162451726,2.0601577979918145e-17,2.438346939621197e-12,0.0008192791225196806,0.18293350016380167,1.3419715102181946e-21,4.862017045791617e-15,3.860478054166648e-05,2.9485424054684656e-37,1.7733013885183753e-10,0.012313354698166766,4.2172280292692646e-07,5.665324866626594e-05,1.0,8.762114713540171e-21,8.529266443649463e-09,6.175250689697385e-23,1.0009125746909452e-10,1.0921577778356917e-15,0.00043858222537768594,6.54849816040444e-13
eskimo,5.860067305687858e-07,0.00030215113201213523,0.0010670815894717855,0.5596125760326407,,1.0,8.208635567764491e-20,0.0007706739642875762,5.8386925127599225e-08,0.5596125760326407,6.585938901556553e-28,2.6804456876682213e-11,4.202788424881368e-09,6.104056680275465e-33,5.860067305687858e-07,0.06540150156002422,1.650350058753858e-14,0.00021253496180611133,0.6158874615712233,5.37737719432604e-13,5.8386925127599225e-08,2.928983464148443e-31,9.997612562238728e-13,8.080320524241101e-18,0.001406776153533032,9.344479470366325e-10
european person,3.224505363744761e-05,1.0867742612382092e-07,0.00029212720478110125,0.44060801388684656,2.1482049835015714e-05,,6.584608167034336e-23,0.00019739932736483924,0.005840773574659416,0.26500273537087077,3.753459052933386e-17,1.3327033389080521e-08,1.3327033389080521e-08,3.4640358436861123e-32,1.089474356084002e-06,0.00038991614359440197,0.009771861561433707,0.0019216068354920277,0.6684745636624408,5.817077804300681e-12,2.1482049835015714e-05,1.5549818331358933e-33,1.3765390036664e-10,2.8067340580449507e-10,0.3900943171746033,2.7621157529027193e-09
french person,0.0005318448714611471,2.718513426648374e-05,0.04187426602504945,0.15592005883719012,0.47715805522096355,0.5441656372447454,,2.064177261631434e-08,0.4188243142180599,0.6858971207140339,1.86294464552598e-11,7.394407113320414e-07,0.0015335131397055239,1.6665541316660748e-12,7.394407113320414e-07,0.36060459024728064,0.0007295432733478107,1.538825254092713e-05,0.04187426602504945,1.7378752673926363e-10,0.5441656372447454,8.615191859241981e-66,2.7465902886412532e-09,1.7378752673926363e-10,0.019505278070886423,0.014404142401112478
german person,0.002142464099626457,2.36582590949122e-06,4.542592151463178e-05,0.011766845369094961,0.01492892317229638,3.0262912488485436e-05,1.952917819410231e-12,,0.048371458544219065,0.32300590646732186,4.2559177418059075e-12,7.978527029406628e-09,4.542592151463178e-05,2.0495698179057766e-19,2.36582590949122e-06,0.024265750035109085,5.818733548406702e-06,0.024265750035109085,0.0011385666089999246,4.4273312133328417e-10,0.01492892317229638,2.917442304052005e-33,1.1060607754940776e-14,2.1773668366372957e-15,3.0262912488485436e-05,7.602437349049191e-08
greek person,0.00011379624253098945,0.001582815603673909,0.010340102466834327,0.3945841683496334,0.0881191832128741,0.003622485089425061,2.887556081243411e-20,4.994706868069928e-08,,0.2330671257106835,1.8254339226218445e-11,1.1554969719886571e-09,0.00011379624253098945,6.95069021978848e-29,2.2919844210302507e-07,0.00016004207989671343,0.00016004207989671343,1.4779501884443914e-06,0.026414780979430515,6.591717616714173e-11,0.004901393055041329,4.3242235948066145e-33,3.321896162602477e-11,4.258421296678416e-14,0.26831582461275594,3.6419707834097783e-10
hispanic person,1.5443488512885164e-06,7.930209291141219e-05,0.015404326178592444,0.15636769465711248,0.6770528179857593,3.831012399059511e-05,4.41387799818992e-12,1.3743098950262003e-08,0.00015940864435772906,,1.1279853518763009e-21,1.9489432819166974e-14,4.8412407968454375e-09,5.742309079358487e-38,1.7194437389270501e-10,0.0005906772176899648,4.8412407968454375e-09,2.5740847340580464e-07,0.9336205285049514,4.536139667832905e-15,0.015404326178592444,1.1204936157260798e-32,1.0114721516588278e-15,1.7194437389270501e-10,7.930209291141219e-05,1.5529933986473323e-11
