,african person,american person,british person,chinese person,eskimo,european person,french person,german person,greek person,hispanic person,indian person,iraqi person,irish person,italian person,japanese person,korean person,mexican person,middle eastern person,mongolian person,native american person,pakistani person,phillipines person,russian person,scottish person,thai person,vietnamese person
african person,,2.198685358144033e-31,0.27954236457294823,0.0019962602890967723,0.04492842227811531,3.926496677927633e-05,0.029763272324345183,4.267252914414348e-12,5.161298923188707e-11,0.05547358625733387,4.086133602615893e-37,1.5200825252155481e-22,0.02447940718168353,4.086133602615893e-37,0.13293857764209316,1.1786915101893025e-39,1.158402564060294e-12,2.0937736474828196e-23,0.005899731568707873,2.4099525597284642e-33,1.696984885585944e-10,5.161298923188707e-11,4.407735108625743e-18,0.27954236457294823,0.015649971643443374,0.015649971643443374
american person,2.4574479638848846e-31,,1.0,0.8028408737677932,0.0006050009177643846,5.419808534428193e-05,9.293734384170442e-11,6.659049924113742e-21,1.561867744636602e-07,5.509639315796942e-10,1.4325614169040907e-32,9.414729653980696e-16,0.4042774632134179,1.2476503748218967e-36,5.419808534428193e-05,9.54368757643512e-28,2.5527623737212295e-24,1.4252377414244822e-18,0.2790604983061782,6.297264103074657e-23,2.9735736578703003e-10,3.610815800375793e-26,1.4482816202094605e-22,0.45374971492493354,0.0011121303642328607,0.11343785161792418
british person,0.5582376420191834,0.6758347366506325,,0.044582823519891235,0.24214848982826576,0.0014096473386674868,0.00010608195447279923,8.950341205065901e-15,3.602299078694947e-08,1.4208219126942818e-07,9.762630972318683e-34,2.012711701748985e-12,0.35745423129341924,1.2423337450080727e-30,2.1427443508535144e-06,8.726186523089194e-27,7.70479109413753e-20,3.847267235046544e-20,0.00010608195447279923,5.579468101658044e-35,3.602299078694947e-08,1.5166913966995093e-17,6.140570780335012e-14,0.4515613297242671,3.623519029695959e-07,0.0043318023690752435
chinese person,0.004386472837072251,0.2784785154388326,0.01913920896773009,,1.0,3.9361411203256725e-05,1.5278681843403377e-07,9.920363267168924e-15,8.970291159524056e-10,1.0094792669911171e-07,4.8323625514854386e-23,1.0819943426927863e-16,1.8489935832253208e-05,7.265592762303501e-33,2.537408063228437e-05,4.232033325118493e-26,7.941433682721823e-26,1.1129190710061435e-19,0.00016222155672800277,1.874823912454657e-30,7.731903873279598e-09,4.0725334841179935e-14,3.7353858887767373e-25,0.8674974205463977,3.87260324176554e-07,0.3592031482518758
eskimo,0.024160917362247486,0.015410081501608688,0.054971819404097545,0.24361625809284598,,0.09554779309165089,1.7088997962315962e-07,1.1814036525865283e-21,1.5189820855711924e-11,8.136613002043023e-06,1.0614178416615788e-25,9.91291141902984e-08,0.8027193559822732,1.9920211703525776e-32,0.0004374302657055855,5.8812940770739445e-31,2.1143705064011956e-16,4.639107993192573e-14,0.012265475468009625,7.936633422022734e-24,3.097896907592693e-13,1.58166845796219e-18,4.779550323856759e-20,0.054971819404097545,0.0666501173830401,0.030092603892918922
european person,0.19456692236566156,0.9311949600284679,0.34181665427892033,1.0,0.03769843382170503,,9.154986771193354e-07,2.9981031094281547e-13,1.4042429256976297e-07,5.935846453054905e-07,9.460627458839322e-26,5.126602904059987e-17,0.1000541155849784,3.2551663217279227e-23,0.024352453028919502,2.65872799568902e-27,4.634208193565329e-20,5.126602904059987e-17,0.024352453028919502,1.5398981866508204e-24,0.00035616173738409895,2.3213451516302198e-17,1.4843872664855542e-28,0.14135059084165758,8.790475055596555e-05,0.5454427586603363
french person,0.3832181867209033,0.028840825288604544,0.19083788557606504,0.4330100026977962,0.2571119441320301,0.023295806762632165,,2.405810825201307e-17,2.6097405252066627e-09,4.6102084733906907e-07,1.3720436491262018e-24,7.165986197483475e-17,0.018184729740860092,7.774243537964942e-26,7.803719691468861e-05,3.407134899984228e-14,1.6037811641200384e-18,9.105175561146007e-19,0.2220845342170374,1.0856606011399712e-19,1.261070480281752e-10,4.499667694916833e-20,3.098683701919019e-22,0.028840825288604544,7.803719691468861e-05,0.8615842309387045
german person,0.49086294805849306,0.03754918719420446,0.03754918719420446,0.9216778977162534,0.010168351700713849,0.001062764748317917,0.01782924346540833,,4.170475755765007e-09,4.038628286590461e-06,8.232357973774543e-13,7.368149637378852e-11,0.09290558341316427,4.24875047784244e-15,0.029767142181179228,8.232357973774543e-13,6.933173326077185e-17,8.232357973774543e-13,0.11373490918388034,4.24875047784244e-15,6.6252404128583054e-06,6.933173326077185e-17,2.716772117460658e-25,0.09290558341316427,0.04810401643888575,0.7679849017651936
greek person,0.04406574041709626,0.6479237115940968,0.14391108365651056,0.855448742839868,0.20127337638786663,0.0004854432930235632,0.0017992600661917407,2.494398864274754e-11,,2.2039926371233633e-05,3.9753309867797565e-13,3.841607385430042e-10,0.27361849776249014,4.592733691363274e-22,0.0825257238196574,8.695509022837563e-17,1.0901233403987481e-19,3.171713912760393e-12,0.7841039607509721,3.233876146107703e-19,7.3444720043608e-05,3.080239477864562e-20,1.2738934756923592e-17,0.14391108365651056,0.013673497595656017,0.23494468399262644
hispanic person,0.006170041729873747,0.004772399948525982,0.9299681452850291,0.042544543570755086,0.42869529941165174,1.3539373092208881e-05,2.337094422714649e-06,2.2053419720078577e-13,8.351339242988318e-08,,3.9797095698922166e-33,3.561905076165455e-07,0.7920338655053242,3.156149889355627e-47,9.470173309607685e-09,1.0944426929502362e-27,1.492394232447364e-16,2.603929247528921e-19,3.1001952882770705e-05,1.7135809425033144e-29,1.935397445695361e-09,8.65732334497174e-15,1.5707692200482963e-12,0.022270035814919712,2.3636508456034795e-07,0.042544543570755086
