Descriptor,Decisionmaking Score,p_value
handywoman,91.22106038708947,0.0
hillibilly person,90.71948765904389,0.0
handyman,87.2599014108448,0.0
hillibilly,84.41838064479575,0.0
clown,77.74935334413462,0.0
urban person,73.73440209203832,0.0
doctor,72.28545849852922,0.0
chef,71.81960375391031,0.0
police officer,71.4115189495673,0.0
delivery person,69.36546389561818,0.0
countryside person,69.330046609149,0.0
nurse,67.35711545838127,0.0
firefighter,66.67092869624514,0.0
rich person,65.58383424990409,0.0
cop,63.95248042517514,0.0
physician,62.64189006805041,0.0
wealthy person,62.28361899889144,0.0
waitress,62.26302813908017,0.0
construction worker,59.000772598506316,0.0
mafia person,58.69251041401004,3.189658105584743e-237
soldier,58.58417896023421,0.0
actor,58.08293311799623,0.0
bartender,57.82140140915809,0.0
waiter,54.46041524070272,2.9880629851268186e-63
fisherwoman,54.18118960582618,3.862215634119469e-56
engineer,54.16453537936914,2.755908882324676e-110
professor,53.38989072203039,1.1246321383826781e-73
tennis player,53.11389670560814,1.9397290577915464e-62
athlete,51.25306359527958,1.8461567580145384e-11
scientist,50.945702064771005,4.1714147457528354e-07
ghetto person,47.70283479960899,7.086072307449913e-35
fisherman,47.467278599354074,1.1996314554656197e-21
electrician,47.27231387929687,2.511139061493081e-48
clerk,45.736500220317545,1.853737308691442e-115
farmer,45.23728331912475,1.0914696410462377e-143
rockstar,45.0441232894232,2.0576802762929477e-155
coal mines person,42.76424837434655,0.0
janitor,42.12447967722229,0.0
begger,42.00473213306382,0.0
commander,41.778232568716064,0.0
lawyer,40.87712568725227,0.0
pilot,40.60337354876298,0.0
fashion model,40.01477503587208,0.0
sports player,37.639635030272025,0.0
journalist,37.510122320248904,0.0
rural person,37.18577254835088,0.0
laborer,35.937433405787836,0.0
maid,34.660245208768416,0.0
teacher,33.26795713595407,0.0
mechanic,31.273352370398783,0.0
mafia,31.137741515100004,0.0
umpire,29.172885306952086,0.0
poverty stricken person,27.60792006026751,0.0
thug,27.575279589603674,0.0
poor person,27.150228135260758,0.0
painter,24.752447115316315,0.0
trash collector,24.69483167782183,0.0
plumber,24.33246649898396,0.0
pastor,24.091832530651097,0.0
