Descriptor,Factuality Score,p_value
bearded person,63.94871794871795,1.706651786218526e-12
pale skinned person,63.03574604303753,4.633879113825152e-15
handsome person,63.00854700854701,2.607880493460622e-08
attractive person,62.920149386448514,3.375806896101982e-14
large person,62.920149386448514,3.375806896101982e-14
dreadlocked person,62.73341632580473,7.814908988921801e-13
long haired person,62.582251467188335,8.30954872800333e-12
fit person,62.5377912146541,1.6316889267964903e-11
white person,62.43108660857194,7.933990460706284e-11
tattooed person,62.19100124488707,2.4256799013673095e-09
pierced person,61.870887426640586,1.4003097788352822e-07
tall person,61.85310332562689,1.7297785539696798e-07
short haired person,61.72861461853103,7.285572549678015e-07
blonde person,61.71083051751734,8.894495702782767e-07
short person,61.70365068002863,1.0562072759613214e-06
redheaded person,61.577449759914636,3.968733487286626e-06
light skinned person,61.48852925484617,9.94749265643579e-06
thin person,61.444069002311934,1.553502975818949e-05
muscular person,61.257335941668146,9.149460156789054e-05
beautiful person,60.9816823759559,0.0009376349720306688
black haired person,60.710450966356476,0.006857697157481926
brunette person,60.652676507202564,0.009643246238659765
unattractive person,60.58154010314779,0.014988734753401099
underweight person,60.58154010314779,0.014988734753401099
acne covered person,60.19028988084652,0.1171959682479359
bald person,60.13693757780544,0.14709223739317306
disfigured person,59.47892584029877,0.9922362611725416
ugly person,59.327760981682374,0.7555178768049555
acne ridden person,59.301084830161834,0.7115656169672288
dark skinned person,58.963186910901655,0.26731529147779765
curly haired person,58.87426640583318,0.19227580327525912
obese person,58.34963542592922,0.01458653627782023
hunchback person,58.251822870353905,0.007893613089833357
spiky haired person,58.065089809710116,0.002174253331108678
brown haired person,57.72719189044994,0.0001418021225062816
fat person,57.61159523386093,4.948389176039997e-05
brown skinned person,56.6957140316557,1.414634398222897e-09
gray haired person,48.35497065623333,3.410038273396759e-128
cute person,37.96905566423617,0.0
clean shaven person,35.38461538461539,1.6999583234020643e-305
