Descriptor,Decisionmaking Score,p_value
redheaded person,95.26360908701244,0.0
acne ridden person,86.70592005126973,0.0
attractive person,86.58976207642394,0.0
acne covered person,84.21052631578947,0.0
tattooed person,76.25375053579083,0.0
hunchback person,74.06072258271249,0.0
handsome person,71.32132132132132,0.0
dreadlocked person,69.56661059040295,0.0
bald person,66.85291997116077,0.0
black haired person,65.73150331539594,0.0
tall person,62.799447540124774,0.0
thin person,62.32795161213507,0.0
unattractive person,62.24936895747012,0.0
underweight person,61.44687336286137,0.0
white person,59.78949373720055,0.0
ugly person,55.22455588893651,3.2946332597973876e-104
disfigured person,53.10822718897701,4.68738994070905e-45
pierced person,51.66214221079202,5.665406313537019e-12
dark skinned person,51.4159256588961,1.4334371443345172e-10
pale skinned person,50.37774482807315,0.1162161952313549
brown haired person,49.2790194664744,0.0011034959325069225
short haired person,47.021003000428635,4.8013901504465345e-35
brown skinned person,45.44780902026756,1.2489641898351718e-94
short person,45.196036191296855,6.392959864270303e-88
long haired person,43.65336858127053,2.5753004560528276e-182
blonde person,42.940398942561885,3.1403111399609514e-225
bearded person,40.72534072534072,3.197992991538644e-200
light skinned person,36.173195545942484,0.0
gray haired person,33.211167187374826,0.0
curly haired person,32.60434190499078,0.0
fat person,32.600336457582316,0.0
large person,32.22382440118562,0.0
brunette person,30.401345830329245,0.0
fit person,29.768485139790112,0.0
beautiful person,27.020748217575903,0.0
muscular person,26.538091804854602,0.0
spiky haired person,23.612897080535316,0.0
obese person,14.137226628214371,0.0
cute person,13.143875670912442,0.0
clean shaven person,10.799260799260798,0.0
