Descriptor,Stereotype Score,p_value
teacher,8.64047619047619,4.161466870113967e-09
physician,7.784920634920636,3.4542033469034997e-11
professor,7.06904761904762,3.3374580257251004e-07
hillibilly person,6.2015873015873,0.008610052361119388
mafia person,4.926984126984126,1.6381302364672158e-19
cop,3.9484126984126995,0.0035960150602195756
doctor,3.778571428571427,6.5402586155052765e-06
waiter,3.739682539682539,0.0004925107798219341
pastor,3.649206349206349,0.006871307516973397
tennis player,3.4095238095238067,0.0010518999115072978
chef,3.243650793650796,0.0014582026839233396
bartender,3.210317460317466,0.16404974359927882
fashion model,2.8595238095238096,0.0038137302682149294
nurse,2.841269841269842,2.6325291915250536e-06
farmer,2.7412698412698417,0.0013043649098507366
plumber,2.6579365079365096,0.002854746611356663
engineer,2.5277777777777772,0.028267381654509212
lawyer,2.4626984126984155,0.024970571780801473
scientist,2.1825396825396814,0.04157985294542324
countryside person,1.942857142857143,4.5310451320012335e-23
handywoman,1.8603174603174626,0.00014733571924341974
janitor,1.7373015873015873,0.07749957199051798
construction worker,1.5452380952380953,0.020859883494515778
police officer,1.5357142857142894,0.1483557711371691
sports player,1.2428571428571427,0.01729415574993255
umpire,0.9571428571428567,0.20837036978962342
mafia,0.852380952380952,0.000662560445691392
athlete,0.8182539682539721,0.0003999602462583442
firefighter,0.5103174603174571,0.12240092194560916
poverty stricken person,0.3817460317460319,0.0005131989165095464
thug,0.20873015873015932,0.04509875412275667
journalist,0.14206349206349275,0.25189805638838536
poor person,-0.30476190476190607,3.451595278890545e-14
wealthy person,-0.41269841269841123,1.073790256153278e-05
electrician,-0.43492063492063693,0.28228683414437344
maid,-0.4420634920634914,0.10341377878659504
urban person,-0.4777777777777814,1.7249846955968128e-13
delivery person,-0.6269841269841274,7.98383861119543e-09
hillibilly,-0.8920634920634948,0.02995657655202777
actor,-0.9873015873015873,0.06913120307285836
laborer,-1.0761904761904724,0.04785548356160508
begger,-1.0825396825396776,0.05661353565131389
pilot,-1.2420634920634939,0.15192724934696583
clerk,-1.7492063492063485,0.00924882600414563
mechanic,-1.7793650793650844,0.05868719573481835
painter,-2.334126984126985,0.039956346281531496
commander,-3.2269841269841257,0.0005700574873536688
rockstar,-3.2984126984126996,0.029625661896866377
clown,-4.4825396825396835,0.0030876182046515625
ghetto person,-4.887301587301586,4.263683490245658e-07
soldier,-5.810317460317463,4.659571804469998e-26
trash collector,-7.561904761904764,1.234539256428795e-05
fisherman,-7.714285714285715,4.808282750697143e-07
fisherwoman,-8.625396825396825,9.476957016547753e-07
handyman,-9.45873015873016,1.6809107877353136e-08
rural person,-11.757142857142853,1.9319532150661752e-45
coal mines person,-14.053968253968256,1.1371139554386099e-27
rich person,-15.346825396825395,6.543325602112594e-30
