Descriptor,Perception Score,p_value
mafia,4.553459119496855,0.0
mafia person,4.6552591847005536,0.0
thug,12.5424581708391,0.0
journalist,20.317021008931942,0.0
trash collector,22.89596175619575,0.0
plumber,23.223046924141403,0.0
maid,23.285947917977104,0.0
umpire,23.625613284689898,0.0
waiter,26.163522012578618,2.7636570976533807e-208
janitor,28.72059378538181,0.0
painter,29.248962133601715,1.3234241365e-314
sports player,31.400176122782742,2.2031055548409998e-251
electrician,33.4381683230595,9.928455699415477e-199
poor person,35.375518933199146,9.51354333478495e-155
rich person,36.142911057994716,6.298297616205682e-139
poverty stricken person,36.771920996351746,1.257311181087897e-126
lawyer,37.5015725248459,4.1718298433556776e-113
clerk,38.457667631148574,1.3569859762243287e-96
pastor,40.05535287457542,5.120747060653841e-72
rural person,40.244055856082525,2.317759948549461e-69
commander,41.50207573279658,5.59778582411856e-53
professor,42.58397282677066,1.0257420993968262e-40
teacher,43.36394515033338,6.493512161862799e-33
mechanic,44.10617687759466,2.7099151676788684e-26
ghetto person,44.20681846773179,1.864489850248252e-25
fisherwoman,45.89833920483141,2.1919112458841348e-07
handywoman,48.59084046300956,0.07688012298972018
hillibilly person,48.817312531454455,0.1382935460916794
engineer,50.044030695684995,0.9458427938915086
rockstar,51.36495156623475,0.014462632258994995
delivery person,51.76751792678325,0.0015227945514645167
begger,51.79267832431752,0.00130170501961152
scientist,52.93747641212732,1.3114333531146023e-07
tennis player,53.478424959114356,4.0558567348318326e-10
nurse,53.654547741854316,5.056706341062179e-11
fashion model,54.107434897471386,1.5176537038199503e-13
bartender,54.270977481444206,1.585121855091034e-14
laborer,56.48509246446094,1.6685932213084598e-31
farmer,56.49767266322808,1.276727694795211e-31
actor,57.61731035350358,7.189748028198178e-43
cop,59.667882752547484,3.860563534560782e-68
countryside person,59.94464712542458,5.120747060653841e-72
pilot,60.397534281041644,1.3285339979963477e-78
physician,60.56107686501446,4.691498653765293e-81
coal mines person,60.98880362309724,1.1817044757276876e-87
athlete,64.97672663228079,2.596132525354075e-162
urban person,65.40445339036357,9.38235693556464e-172
chef,73.66964398037489,0.0
construction worker,73.77485120931999,0.0
doctor,74.76412127311612,0.0
soldier,76.11020254120015,0.0
police officer,77.34306202037993,0.0
clown,77.54434520065418,0.0
hillibilly,81.0566037735849,0.0
firefighter,81.8090325827148,0.0
handyman,82.64150943396227,0.0
fisherman,93.43396226415094,0.0
wealthy person,93.68474021889546,0.0
waitress,97.15651736285858,0.0
