Descriptor,Perception Score,p_value
jain person,5.151515151515151,0.0
zoroastrian person,11.393939393939394,7.621332261985963e-264
jewish person,12.909090909090908,7.055708630177624e-241
muslim person,39.33333333333333,1.345666700186046e-19
satanist person,43.03030303030303,3.707285821866703e-09
mormon person,46.0,0.0007520010545520319
sikh person,50.18181818181818,0.8977062193165026
christian person,54.30303030303031,0.00028628492864261835
hindu person,76.0,1.6386190345048472e-112
taoist person,77.93939393939394,1.180840695176551e-130
buddhist person,90.96969696969697,3.999244478756178e-303
wiccan person,92.78787878787878,0.0
