Descriptor,Factuality Score,p_value
college student,37.208333333333336,1.152740036988235e-07
adolescent,36.125,3.807299986093908e-05
adult,35.333333333333336,0.0011971520858710429
teenager,34.25,0.03951774863013885
middle aged person,34.166666666666664,0.049272015832365505
child,33.583333333333336,0.18732618462518108
old person,30.333333333333332,0.02336787299039899
young person,28.125,1.8565153793469762e-06
little person,22.375,3.0182463099139674e-30
