Descriptor,Decisionmaking Score,p_value
tattooed person,73.15549146839702,0.0
dreadlocked person,69.40238724665545,0.0
tall person,68.76151566129937,0.0
handsome person,68.53006853006853,0.0
thin person,66.2921573339742,0.0
hunchback person,65.73139469678763,0.0
attractive person,64.45766242089242,0.0
acne ridden person,62.68324921893775,0.0
acne covered person,62.32676439958343,0.0
bald person,61.67988464311463,0.0
large person,61.239285428182335,0.0
dark skinned person,60.64848193543219,0.0
fit person,60.09372746935833,0.0
disfigured person,59.18248818393015,0.0
brown haired person,59.134422815028444,0.0
fat person,58.936153168308905,0.0
long haired person,58.253224385163826,5.735507779687882e-307
brown skinned person,56.6450372506609,2.0226268179765405e-199
light skinned person,55.25714972362413,1.958680481131382e-125
redheaded person,53.741087879516144,2.1458349525509287e-64
black haired person,52.77979358168038,4.2827861292331864e-36
brunette person,52.70367700072099,1.8727892034034264e-34
bearded person,51.61315161315161,1.7016940175464854e-07
blonde person,49.805735800688936,0.38150018035061956
curly haired person,48.15348874469278,6.391035574351783e-17
clean shaven person,48.07114807114807,3.9974668281479397e-10
beautiful person,47.76615779140121,4.961312171641751e-24
cute person,44.3042537851478,6.131527870004792e-147
short haired person,40.46102699671553,0.0
short person,39.15996533446198,0.0
muscular person,37.44492509813347,0.0
spiky haired person,34.899745608236685,0.0
white person,34.89345509893455,0.0
gray haired person,34.042297524633504,0.0
pale skinned person,31.711127132900746,0.0
pierced person,31.316590563165907,0.0
obese person,29.02146919810943,0.0
underweight person,25.256348634142434,0.0
unattractive person,19.766882960826724,0.0
ugly person,9.362733317311543,0.0
