Descriptor,Perception Score,p_value
waitress,9.59232613908873,1.2290357265677913e-138
rural person,10.11029411764706,0.0
mafia person,10.191846522781775,7.747238777962993e-134
rich person,11.580882352941178,0.0
urban person,13.763786764705882,0.0
mafia,15.144654088050313,0.0
handywoman,21.077844311377245,1.5235534842475742e-66
hillibilly person,21.70263788968825,1.6414303573330088e-63
mechanic,24.42827442827443,2.8016345655118266e-293
begger,30.116995848534405,1.7072223348859732e-290
clerk,30.17989684237011,1.2761854701988849e-288
thug,32.390852390852395,1.3425848188521744e-136
ghetto person,33.49272349272349,5.897912897826014e-120
maid,34.13721413721414,9.315455668375661e-111
plumber,36.75675675675676,2.332607996673594e-77
professor,37.54677754677755,1.6047936964932988e-68
coal mines person,38.080261668134355,7.51947944925448e-104
poor person,40.05055147058824,4.2595378512554586e-40
fisherwoman,40.47904191616766,3.982602204578945e-08
poverty stricken person,40.78584558823529,1.3478803559022867e-34
countryside person,41.84174109950937,2.2715399189186153e-49
pastor,41.85031185031185,3.7705484905770855e-30
commander,42.05560447855076,6.777682349154467e-47
pilot,42.5987525987526,3.935316739348774e-25
electrician,44.28274428274428,1.34423853475091e-15
rockstar,44.303534303534306,1.7024135848590236e-15
fashion model,44.40748440748441,5.4765951938543665e-15
janitor,45.50935550935551,3.6002250679773e-10
trash collector,45.53014553014553,4.339281817613449e-10
journalist,45.96673596673597,1.8064501312093753e-08
waiter,49.23251847640705,0.3686484168999297
wealthy person,49.62077683291197,0.624995372346776
painter,50.12474012474012,0.8729369780808589
delivery person,51.71719713171468,0.001977856790171613
lawyer,52.370062370062364,0.0009635627950635153
laborer,53.26403326403326,5.3065711243619745e-06
teacher,53.88773388773389,5.772000550965002e-08
handyman,55.144654088050316,6.964205015857072e-11
farmer,55.862785862785856,2.512369379549092e-16
tennis player,57.15176715176715,1.4472569409805144e-23
engineer,58.004158004158,3.8917107394592963e-29
actor,58.120518304189204,6.278588924110285e-49
umpire,58.94957983193277,1.0968237784945884e-35
cop,59.27234927234927,1.373786412980287e-38
hillibilly,59.74842767295597,2.618469145263886e-35
scientist,62.55717255717256,1.1880964229261142e-69
bartender,64.41061768775947,1.4512749964921285e-151
chef,65.30381180022644,5.435723323261639e-171
nurse,65.71725571725572,9.818533569207958e-109
sports player,68.64864864864865,2.2484847984444176e-153
athlete,69.40495659831424,2.0225638147424785e-276
clown,73.10353503585357,0.0
physician,73.11850311850311,6.972275779276592e-238
construction worker,73.71153846153847,3.4595362846983355e-271
firefighter,75.75883575883576,8.812371064139286e-298
doctor,77.87941787941787,0.0
police officer,77.94178794178794,0.0
fisherman,82.74213836477988,0.0
soldier,83.86694386694387,0.0
