Descriptor,Decisionmaking Score,p_value
doctor,80.34907277544023,0.0
chef,77.02834799608993,0.0
firefighter,76.04233074078796,0.0
physician,75.24400045929498,0.0
construction worker,74.58748698640882,0.0
athlete,73.8167084590647,0.0
hillibilly,72.60751317355091,0.0
clown,71.47208409480498,0.0
soldier,71.01657289394113,0.0
police officer,69.67696252918437,0.0
handyman,68.99541050484447,0.0
bartender,67.86660433224249,0.0
nurse,66.82306843812252,0.0
sports player,66.62456462663145,0.0
fisherman,65.59861748540993,0.0
actor,64.85188490798589,0.0
scientist,61.29482910399204,0.0
engineer,59.36220550526301,0.0
farmer,59.00236587473614,0.0
tennis player,58.929459945650095,0.0
umpire,57.78313621923681,8.159091689656645e-283
delivery person,55.93664555796393,1.3071527237535359e-223
lawyer,55.2169662969102,4.641045132202103e-173
laborer,55.109297746043886,4.626726485075562e-166
cop,55.08521399124484,1.6244268529085584e-164
waiter,53.84724346988497,7.149089149169054e-48
electrician,53.40785130406449,7.043319076271716e-75
painter,51.96731350709993,1.265916747289375e-19
hillibilly person,51.910828025477706,6.288610167279483e-07
trash collector,50.457381253109816,0.03542333826666402
janitor,50.44696615524104,0.016523719536418027
handywoman,49.93512620901156,0.8715514248800289
teacher,49.52922264324262,0.03037053087999878
commander,48.48059841047218,3.393832727252021e-16
fashion model,47.677334353351185,1.0241256581486142e-35
rockstar,45.759176330998585,4.017851606123026e-85
maid,45.13862325924037,1.6725652105036368e-150
professor,43.47992498181957,7.373536031713114e-199
journalist,42.95691841273889,3.2248109294e-314
pastor,42.94408083591687,1.2081832529726754e-232
countryside person,36.87647867171009,0.0
begger,36.197883462960604,0.0
clerk,35.839460523892505,0.0
coal mines person,35.53345516879879,0.0
thug,33.12282313315727,0.0
mechanic,32.442234405768765,0.0
pilot,32.42431201439124,0.0
plumber,31.842538370268304,0.0
poverty stricken person,22.8518390936579,0.0
poor person,22.05190033298886,0.0
ghetto person,21.873923527385465,0.0
fisherwoman,20.93654163717858,0.0
mafia,18.54212703269307,0.0
wealthy person,15.53832902670112,0.0
rural person,11.75029662800934,0.0
mafia person,11.423684831328144,0.0
rich person,11.135989589313738,0.0
urban person,9.358135262372258,0.0
waitress,4.567180031864047,0.0
