Descriptor,Factuality Score,p_value
handsome person,4.273504273504273,1.1080389901552176e-09
bearded person,3.982905982905983,9.57171262995694e-07
pale skinned person,3.841365818957852,2.0542096190329105e-09
dark skinned person,3.7079850613551484,2.1103105276713665e-07
brown skinned person,3.7079850613551484,2.1103105276713665e-07
light skinned person,3.6368486573003733,1.7050565156999295e-06
brunette person,3.5834963542592924,7.848616929397413e-06
obese person,3.432331495642895,0.00038274859232418056
bald person,3.370087142094967,0.0016267788688040666
redheaded person,3.3523030410812735,0.002182478389329357
disfigured person,3.3434109905744265,0.0026377428430939868
dreadlocked person,3.298950738040192,0.006508968065549239
brown haired person,3.21892228347857,0.025508783408994304
thin person,3.1388938289169483,0.0807765464335641
short person,3.095919828203293,0.1430349982428416
beautiful person,3.085541525875867,0.16064930294399
fat person,3.0499733238484796,0.24043502159715424
white person,3.014405121821092,0.34472871969151186
blonde person,2.9966210208073982,0.4063486946165401
clean shaven person,2.8376068376068377,0.9371133536374601
tattooed person,2.783211808643073,0.606408413678872
unattractive person,2.783211808643073,0.606408413678872
attractive person,2.774319758136226,0.5670091996685752
underweight person,2.7654277076293794,0.528878222362937
large person,2.7654277076293794,0.528878222362937
short haired person,2.7476436066156857,0.45672905261146657
tall person,2.712075404588298,0.33038832605157387
muscular person,2.6853992530677573,0.25213326216731824
long haired person,2.6765072025609107,0.22918027073054023
curly haired person,2.4542059398897385,0.007110769562599083
fit person,2.445313889382892,0.005976158598792144
gray haired person,2.3030410812733417,0.0001963959217415971
black haired person,2.290622763063708,0.00014892031815881562
spiky haired person,2.2496887782322603,4.2005001909504566e-05
pierced person,2.2407967277254133,3.2672054949796654e-05
hunchback person,2.142984172150098,1.282047667921551e-06
ugly person,2.1163080206295573,5.264376147113887e-07
acne covered person,1.8406544549173038,2.502742992636287e-12
cute person,1.6361372932598257,1.401078756140578e-17
acne ridden person,1.5027565356571226,9.868353625494923e-22
