Descriptor,Factuality Score,p_value
poverty stricken person,34.97295257265065,1.177803660372865e-159
begger,32.683356397031076,2.45305125925668e-94
thug,31.595169203673418,3.585883149327885e-69
clerk,29.45653541325953,7.1037930673723115e-31
maid,29.41250471757454,2.8494150769344175e-30
construction worker,29.314929720146893,1.0125126062270597e-28
pastor,29.123160145930306,2.581489322975874e-26
actor,29.079129450245315,1.015836617389382e-25
lawyer,29.060259152094602,1.8190592142454695e-25
professor,28.827525474902504,1.568190675435687e-22
plumber,28.31173732544974,1.0183395996315258e-16
teacher,28.0035224556548,1.17646755327946e-13
athlete,27.884010567366964,1.4528889352716749e-12
trash collector,27.682727387092715,8.058010563763279e-11
farmer,27.638696691407723,1.8802269211966348e-10
janitor,27.54434520065417,1.0348663471865282e-09
mechanic,27.49402440558561,2.5708123442369087e-09
laborer,27.443703610517048,6.2545646230397815e-09
sports player,27.431123411749905,7.78595413847143e-09
urban person,27.35564221914706,2.6769588045427226e-08
umpire,26.84614416907787,4.3085302119700403e-05
engineer,26.670021386337904,0.000349533154329316
hillibilly person,26.585304479114242,0.01918637601883448
cop,26.475028305447225,0.002571980073643507
hillibilly,26.427672955974842,0.0422617225098203
nurse,26.267455025789406,0.015640716353472337
electrician,26.09133224304944,0.057103119912340974
handywoman,25.50327126321087,0.8970595018153683
delivery person,25.449742105925274,0.9706749130815504
wealthy person,25.39313121147314,0.904894395208578
doctor,25.210718329349604,0.5081525344378388
waiter,25.11949685534591,0.5177710005364771
countryside person,24.996854950308215,0.19819901769675663
clown,24.87105296263681,0.09805539895233385
police officer,24.795571770033966,0.060798932836825595
scientist,24.60686878852686,0.015246563744225502
soldier,24.575418291609008,0.011789327614479633
handyman,24.465408805031448,0.04634237687580514
commander,24.40558560825261,0.002495261533216683
physician,24.38042521071833,0.0019518414786046713
fashion model,24.323814316266198,0.0011025993802526643
firefighter,24.17914203044408,0.0002199606256555706
rural person,24.097370738457666,8.354298286272851e-05
rockstar,23.89608755818342,5.855340874051737e-06
mafia person,23.666331152491193,0.0002503648182115802
tennis player,23.47465089948421,7.377132327943921e-09
journalist,23.292238017360674,2.5366207764926953e-10
rich person,21.587621084413133,2.5585065048302086e-30
painter,21.222795320166057,4.0454574723687806e-36
pilot,20.946030947288968,6.32971612561474e-41
fisherwoman,20.86059386009059,7.230215565444474e-22
poor person,20.707007170713297,2.6500206012518765e-45
mafia,19.849056603773583,4.268949183013344e-32
chef,19.404956598314254,1.4702244919788516e-73
waitress,18.960744841469552,6.3817640286044766e-43
bartender,18.87029815071078,2.530368782845159e-87
coal mines person,17.260032708516796,8.850527796760165e-137
ghetto person,15.599446471254247,4.376843648771815e-201
fisherman,15.559748427672956,1.6243633820693507e-101
