Descriptor,Factuality Score,p_value
pale skinned person,39.81860216966032,1.7955403541186868e-95
brown skinned person,37.80010670460608,4.297486641272224e-59
dark skinned person,35.77271918904499,2.853979685236331e-31
long haired person,34.990218744442465,7.148366184141906e-23
light skinned person,34.510048017072734,2.0254371936367453e-18
white person,34.28774675440157,1.6160907520713194e-16
dreadlocked person,33.94095678463454,9.387434593382817e-14
obese person,33.540814511826426,6.288736337703805e-11
short haired person,33.53192246131958,7.221109120041683e-11
black haired person,32.963493199713675,2.0501895223727828e-07
pierced person,31.646807753868043,0.030426913551645868
brown haired person,31.460074693224257,0.08189642612806924
fat person,31.36226213764894,0.13054392068015336
tattooed person,31.326693935621556,0.15297150311858693
bearded person,31.11111111111111,0.5116175244495961
curly haired person,30.962119864840833,0.5619615841598167
gray haired person,30.864307309265516,0.7247629196820071
short person,30.80708661417323,0.827323410349581
ugly person,30.71314245064912,1.0
brunette person,30.51751733949849,0.6561005681726683
redheaded person,30.259647874799928,0.2955804276598456
attractive person,29.89507380401921,0.05806532672497452
muscular person,29.868397652498665,0.05030674871693399
disfigured person,29.690556642361727,0.01722349096497705
beautiful person,29.60163613729326,0.0096234991801856
large person,29.60163613729326,0.0096234991801856
unattractive person,29.40601102614263,0.0023278269396248726
fit person,29.31709052107416,0.0011457462261930174
blonde person,29.085897207896142,0.00014412771339353215
underweight person,29.077005157389294,0.0001325349780209044
acne ridden person,28.792459541170192,7.29576130340717e-06
acne covered person,28.676862884581183,1.8934039803062765e-06
bald person,28.37453316734839,4.267178493389971e-08
handsome person,27.982905982905983,4.6192467288392714e-06
tall person,27.805441934910192,8.677589110903944e-12
thin person,27.66316912680064,8.132615487056701e-13
spiky haired person,26.791748177129644,2.6198113751773575e-20
clean shaven person,26.427350427350426,4.502692934329657e-13
hunchback person,25.78694646985595,2.2356125391510388e-31
cute person,19.304641650364573,5.593348953471357e-169
