Descriptor,Factuality Score,p_value
urban person,2.994087306579444,8.624698355946608e-23
sports player,2.9248962133601712,1.638345583946149e-20
clown,2.799094225688766,1.7865598923394653e-16
construction worker,2.766873496264404,1.7128943669224636e-15
nurse,2.6670021386337903,8.242254393065673e-13
actor,2.42168826267455,3.9546243448576425e-07
rural person,2.41539816329098,5.379651648545866e-07
police officer,2.4028179645238397,9.87954229138504e-07
handyman,2.3773584905660377,0.0009735133138170517
teacher,2.3462070700717073,1.0007493890362619e-05
thug,2.321046672537426,2.9055467444552225e-05
begger,2.2833060762360047,0.0001162823864689706
poor person,2.2581456787017236,0.0002675392664199314
scientist,2.2392753805510126,0.0005248469124529743
handywoman,2.1640664318067437,0.049851413040274406
laborer,2.1071832934960373,0.022519359440807546
firefighter,2.075732796578186,0.04711755675126414
commander,2.063152597811045,0.05801907454039514
cop,2.0254120015096237,0.1234547938248486
professor,2.0191219021260536,0.13855012882314915
physician,2.0065417033589132,0.1729612777584339
rockstar,1.9373506101396403,0.47708077362059953
mafia,1.9245283018867925,0.6766197424905196
countryside person,1.8996100138382186,0.70024783759446
poverty stricken person,1.887029815071078,0.7898290730358091
fisherwoman,1.7991947659788625,0.7386037369694322
athlete,1.7738080261668134,0.4239615778264258
plumber,1.7738080261668134,0.4239615778264258
engineer,1.7675179267832433,0.390439665217615
fashion model,1.7612278273996729,0.3585779826672767
waitress,1.7488676396577756,0.4785677024883018
tennis player,1.7423575292489621,0.2731313085666674
delivery person,1.7297773304818216,0.22458075080666162
doctor,1.6983268335639703,0.13081537989603112
waiter,1.6981132075471699,0.2972350432091949
wealthy person,1.6354258397282677,0.032929236806441727
painter,1.6228456409611272,0.02434029882014146
farmer,1.597685243426846,0.012803221038360957
journalist,1.5788149452761353,0.007020365811270675
mechanic,1.5788149452761353,0.007020365811270675
coal mines person,1.5725248458925651,0.005862388127374283
lawyer,1.5599446471254246,0.004048486062564626
clerk,1.5536545477418544,0.003348108354469236
fisherman,1.5471698113207548,0.03702163399003819
rich person,1.5410743489747138,0.0022678949657671597
maid,1.5222040508240031,0.0011163993531992857
janitor,1.5096238520568626,0.0007284908495690783
pastor,1.4844634545225814,0.0002984576376196428
chef,1.4844634545225814,0.0002984576376196428
soldier,1.4844634545225814,0.0002984576376196428
mafia person,1.3588324106693508,0.0006168827792895407
trash collector,1.3397911687004656,3.354634168695315e-07
bartender,1.2894703736319033,1.7221524861884453e-08
electrician,1.276890174864763,7.234924973814439e-09
hillibilly,1.2452830188679245,2.0276251511687254e-05
pilot,1.1888287834947793,1.933534757540906e-11
umpire,1.1322178890426469,2.1765573385047542e-13
ghetto person,1.1007673921247956,1.4166794221944142e-14
hillibilly person,0.8303975842979366,3.1430514952540954e-14
