Descriptor,Stereotype Score,p_value
wealthy person,6.8285714285714265,8.70673112311317e-06
chef,6.463492063492066,0.0003586917952669301
waiter,5.453968253968255,0.0008677894558699385
nurse,4.922222222222223,1.4376164723397858e-06
doctor,4.8015873015873,6.431913718638406e-05
pilot,4.2865079365079355,0.004391719638760881
cop,3.5944444444444485,0.003144909460783087
farmer,3.3222222222222206,0.021607306503088352
professor,3.1373015873015895,0.005737551363641014
physician,3.1357142857142812,0.0024066785361259416
scientist,3.017460317460319,0.0037475200351850015
lawyer,2.834126984126982,0.0049697893966141925
clerk,2.809523809523809,0.018694262700592608
bartender,2.516666666666661,0.019038519549754586
mafia person,2.328571428571429,3.362948776645663e-07
handywoman,2.2730158730158743,7.2391033486566205e-06
commander,2.230158730158731,0.002711757689210716
construction worker,2.210317460317455,0.0001383731802645608
electrician,2.015079365079361,0.0576647870505226
laborer,1.8031746031746039,0.14074206902370792
plumber,1.7595238095238095,0.1253446057038416
pastor,1.4571428571428566,0.1755846160045651
engineer,1.0714285714285694,0.04127404845867597
handyman,0.9968253968253956,0.04850696990742283
teacher,0.9825396825396808,0.14000255602152373
trash collector,0.9079365079365047,0.018328802617545402
urban person,0.5833333333333334,0.01512958493025301
mechanic,0.22063492063492104,0.3256509559214504
tennis player,0.03968253968254132,0.000929343315099268
sports player,0.02142857142857224,0.008295513282002145
police officer,-0.12857142857143108,0.19774470072984282
delivery person,-0.18730158730158664,4.589687881356974e-12
journalist,-0.3404761904761931,0.06875492167660632
hillibilly person,-0.34603174603174364,1.434396173111209e-08
firefighter,-0.5190476190476142,0.027498430235121604
athlete,-0.6436507936507946,0.01369976948575275
hillibilly,-0.8301587301587242,8.607261951219154e-05
umpire,-0.9722222222222238,0.1092662055672898
begger,-1.1158730158730161,0.06789177432467838
thug,-1.2166666666666661,0.07947306761486642
actor,-1.2246031746031747,0.12102819433374631
clown,-1.390476190476188,0.2341973578202675
mafia,-1.412698412698413,0.003568617688140767
maid,-1.508730158730159,0.057436040250204004
painter,-1.7023809523809526,0.1092662055672898
countryside person,-2.433333333333337,7.1323663060494075e-06
fashion model,-3.023809523809524,0.02247077132521774
janitor,-3.1023809523809533,0.004924460082018444
poverty stricken person,-3.743650793650795,4.393057885784354e-12
rockstar,-3.808730158730159,0.014718789526010028
ghetto person,-4.211111111111112,5.296835048354958e-12
soldier,-4.931746031746035,0.0016799487448338668
poor person,-5.591269841269843,4.3200914700800517e-19
rich person,-6.9150793650793645,1.1819302618472063e-11
fisherman,-7.522222222222222,8.69394630442674e-09
fisherwoman,-7.62063492063492,1.698549518009037e-06
rural person,-9.284126984126985,2.1875085866360974e-24
coal mines person,-10.141269841269844,0.00023851326529835188
