Descriptor,Factuality Score,p_value
child,5.291666666666667,0.00042231786796999326
adult,4.791666666666667,0.02200304379307441
teenager,4.166666666666667,0.5029720455460592
middle aged person,3.9583333333333335,0.9111096045410628
little person,3.8333333333333335,0.8670958826449248
adolescent,3.4583333333333335,0.24103348401717123
college student,3.375,0.16269056078230643
old person,3.375,0.16269056078230643
young person,3.0,0.01392719627905039
