,aboriginal person,argentian person,asian person,bengali person,black person,brazilian person,caucasian person,egyptian person,indigenous person,indonesian person,moroccan person,nepali person,spanish person,white american person
aboriginal person,0.0,0.2996738929034649,-0.4716144668158091,0.14800074115249218,0.15522327218825271,0.07577543079488613,0.22744858254585876,0.2346711135816194,-0.19868074856401702,-0.21312581063553826,0.19855845840281638,-0.4081341486010747,-0.061452658884565525,0.010772651473040629
argentian person,-0.36304243098017414,0.0,-0.4274198359433259,0.15697980359458963,0.16420233463035017,0.15697980359458963,0.36643320363164716,0.3375430794886048,-0.18970168612191962,-0.21859181026496202,0.27976283120251993,-0.3124847137298499,-0.06691865851398926,0.11364461738002596
asian person,0.07829977628635354,0.20917225950782992,0.0,-0.008948545861297452,0.05648769574944068,0.03467561521252793,0.23098434004474278,0.18008948545861303,-0.19798657718120805,-0.21252796420581654,0.06375838926174504,-0.4597315436241611,-0.04530201342281881,0.07102908277404929
bengali person,-0.196360941263665,-0.030242727441171013,-0.19441088739746454,0.0,0.13587548638132302,0.57644987956272,0.25865851398925327,0.2875486381322957,-0.2830313136927923,-0.21802853437094682,0.1647656105243654,-0.3552566240503984,-0.16747081712062256,0.020314989809153194
black person,-0.1841282193811377,-0.018010005558643682,-0.24036912751677852,0.025325180655919932,0.0,0.6103501945525291,0.26366870483602006,0.2853362979433019,-0.17690568834537707,-0.24913099870298314,0.2131109875856957,-0.3719140263109134,-0.1335705021308134,-0.02523253659440433
brazilian person,0.0037131739855475465,0.09760607745043542,-0.11023489932885908,-0.3068556605521586,-0.3213007226236798,0.0,0.3576171947378173,0.3720622568093386,-0.1046247915508616,-0.16240503983694646,0.2059440429868446,-0.2201852881230313,0.018158236057068733,0.16983138780804152
caucasian person,-0.05735408560311284,-0.021241430424309787,-0.21588739746457866,0.10154159718362052,0.11598665925514176,0.13043172132666295,0.0,0.29654993514915695,-0.14402445803224012,-0.1079118028534371,0.1737669075412266,-0.19458217528256438,-0.07179914767463408,-0.006796368352788601
egyptian person,-0.06680007411524921,0.005425236242356857,-0.16724086502609994,0.07042801556420233,0.09209560867148417,0.113763201778766,0.27988141560126,0.0,-0.13902538447285528,-0.15347044654437653,0.19321104317213267,-0.20402816379470076,-0.07402260515100983,0.04876042245692053
indigenous person,-0.09314804521030196,0.07297016861219197,-0.24880313199105147,0.18130813414860103,0.0946377617194738,0.13075041689827682,0.26075597554196783,0.2535334445062072,0.0,-0.3314915693904021,0.17408560311284038,-0.40371687974800813,-0.1003705762460626,0.00796738929034646
indonesian person,-0.11761348897535673,0.06294978691865849,-0.27315809097688293,0.07739484899017979,0.127952566240504,0.14962015934778583,0.18573281452658885,0.2290680007411524,-0.05261070965351122,0.0,0.1785102834908282,-0.5148526959421902,-0.13928108208263856,0.08461738002594033
moroccan person,-0.12574022605151008,-0.031847322586622206,-0.14596942580164057,0.09815823605706875,0.06926811191402632,0.18482860848619603,0.3076116360941264,0.28594404298684456,-0.1546303501945525,-0.19796553640911618,0.0,-0.25574578469520104,-0.04629238465814339,0.011487863627941408
nepali person,-0.0865851398925328,-0.0071372984991662225,-0.1899701715137957,0.050642949786918634,0.08675560496572166,0.043420418751158096,0.10842319807300349,0.11564572910876414,-0.14436538817861766,-0.07214007782101162,0.07231054289420047,0.0,-0.02158236057068741,0.043420418751158096
spanish person,-0.14199370020381696,0.038569575690198254,-0.313076062639821,0.15413007226236797,0.13968501019084678,0.09634982397628311,0.27691309987029833,0.27691309987029833,-0.15643876227533815,-0.15643876227533815,0.15413007226236797,-0.4381174726700019,0.0,0.06745969983324074
white american person,-0.07858810450250137,-0.006362794144895323,-0.29379194630872485,0.1019751713915138,0.1669779507133593,0.0803075782842319,0.34754122660737446,0.28976097832128955,-0.12914582175282568,-0.24470631832499537,0.2319807300352047,-0.3674893459329257,-0.1002556976097832,0.0
