,adolescent,adult,child,college student,little,middle aged person,old person,teenager,young person
adolescent,0.0,0.10095238095238093,-0.2571428571428571,0.6495238095238095,0.07047619047619044,-0.12,-0.15809523809523807,-0.2419047619047619,-0.0438095238095238
adult,0.31999999999999995,0.0,0.2895238095238095,0.4419047619047619,-0.08380952380952378,-0.35809523809523813,-0.35047619047619044,-0.04571428571428571,-0.21333333333333332
child,0.5485714285714285,-0.16000000000000003,0.0,0.5714285714285714,-0.18285714285714288,-0.38095238095238104,-0.4571428571428572,0.48000000000000004,-0.4190476190476191
college student,0.033333333333333354,0.07904761904761903,-0.18,0.0,0.20095238095238094,-0.04285714285714287,-0.07333333333333332,-0.13428571428571429,0.11714285714285716
little,0.23904761904761906,0.23142857142857143,0.200952380952381,0.20857142857142852,0.0,-0.31714285714285717,-0.4085714285714286,0.17047619047619045,-0.32476190476190475
middle aged person,0.06761904761904758,0.14380952380952383,0.037142857142857144,0.09047619047619049,-0.008571428571428563,0.0,-0.3742857142857143,0.12095238095238092,-0.07714285714285718
old person,0.037142857142857144,0.06761904761904769,0.04476190476190478,0.052380952380952306,0.014285714285714235,-0.38190476190476197,0.0,0.10571428571428576,0.05999999999999994
teenager,0.6152380952380953,0.2571428571428571,-0.39809523809523806,0.6076190476190475,-0.07047619047619053,-0.38285714285714284,-0.4361904761904762,0.0,-0.19238095238095237
young person,0.179047619047619,0.18666666666666676,0.2628571428571429,0.11809523809523803,0.18666666666666676,-0.4228571428571429,-0.6285714285714286,0.11809523809523803,0.0
