,adolescent,adult,child,college student,little,middle aged person,old person,teenager,young person
adolescent,,0.010865689020723927,8.304448868090052e-16,3.77185650822608e-57,0.06762716050519198,0.0010973613657268766,1.0106147251857681e-05,1.7348341660793367e-13,0.2652668509585401
adult,1.8601357192389052e-13,,2.4730236533596715e-11,6.784064317953877e-25,0.04915418922963968,2.5065845932528765e-20,3.360851840921548e-19,0.3242137177858715,2.436053921939131e-07
child,4.224879499785336e-44,0.00032153580201251544,,3.242465697396903e-50,3.608160834069417e-05,2.9821239545501734e-19,2.7788823250303445e-28,1.4265929013776403e-31,1.9398154748259157e-23
college student,0.28312915509838843,0.016356647194777085,1.5672310161316617e-12,,6.898345851291901e-09,0.18958259345069867,0.02223765266884276,3.418012364999835e-06,0.0004716008914659262
little,4.26454389029039e-08,1.1682637032711992e-07,4.690155996000071e-06,1.958829021034789e-06,,1.1178021907312447e-13,7.415179619511206e-23,0.00011151211228902489,2.6130602572009407e-14
middle aged person,0.06253167443865384,9.639812741203128e-06,0.32580965134758455,0.008542653474849136,0.8270440016196144,,2.981623746323719e-22,0.00028088295721899237,0.03721925130169733
old person,0.256646487343672,0.023207175877236037,0.16494911521653885,0.10022355963238229,0.7062713030636321,1.729055725451853e-27,,0.00020618831921745398,0.05749142658895176
teenager,4.012351218613289e-52,3.625260315493099e-09,1.663832483709672e-23,1.7918668084113249e-50,0.11250954388370911,1.2683486590630556e-21,4.620161756812759e-29,,6.055185137212471e-06
young person,1.1831535261674338e-05,4.861633456810604e-06,4.6962344053342184e-11,0.0048389286387952105,4.861633456810604e-06,7.270552194297883e-23,1.7182124435864225e-51,0.0048389286387952105,
